Author / creator,Research batch,Corpus rows,Unresolved item,Coverage status
John Paul II,Audited authors G–M,2,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Jonathan Swift,Audited authors G–M,2,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Joseph Black,Audited authors G–M,2,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Joseph Conrad,Audited authors G–M,2,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Joseph Haydn,Audited authors G–M,1,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Joseph Kalkavage,Audited authors G–M,2,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Joseph Louis Gay-Lussac,Audited authors G–M,3,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Karl Marx,Early-modern and modern audit,17,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; 20 author corpora remain provisional after work-level review
Lady Mary Wroth,Audited authors G–M,2,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Leo Tolstoy,Early-modern and modern audit,20,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; 20 author corpora remain provisional after work-level review
Leo XIII,Audited authors G–M,2,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Leon R. Kass,Audited authors G–M,2,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Leonhard Euler,Audited authors G–M,2,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Livy,"Classical, patristic, and medieval audit; Audited authors N–Z",2,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; 37 authors remain provisional pending specialist complete-corpus verification | Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Louis de Broglie,Audited authors G–M,2,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Lucretius,"Classical, patristic, and medieval audit",1,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; 37 authors remain provisional pending specialist complete-corpus verification
Ludwig Feuerbach,Audited authors G–M,2,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Ludwig van Beethoven,Audited authors G–M,1,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Madame de La Fayette,Audited authors G–M,2,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Maimonides,"Classical, patristic, and medieval audit",1,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; 37 authors remain provisional pending specialist complete-corpus verification
Mark Twain,Audited authors G–M,3,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Martin Heidegger,Early-modern and modern audit,16,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; 20 author corpora remain provisional after work-level review
Martin Luther,Audited authors G–M,2,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Martin of Dacia,"Classical, patristic, and medieval audit",1,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; 37 authors remain provisional pending specialist complete-corpus verification
Max Planck,Audited authors G–M,2,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Michael Faraday,Audited authors G–M,3,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Michael Polanyi,Audited authors G–M,2,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Michel de Montaigne,Audited authors G–M,2,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Miguel de Cervantes,Early-modern and modern audit,17,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; 20 author corpora remain provisional after work-level review
Molière,Audited authors G–M,2,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Nathaniel Hawthorne,Audited authors N–Z,1,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Niccolò Machiavelli,Early-modern and modern audit,15,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; 20 author corpora remain provisional after work-level review
Nicolaus Copernicus,Audited authors N–Z,2,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Nicomachus,"Classical, patristic, and medieval audit",1,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; 37 authors remain provisional pending specialist complete-corpus verification
Niels Bohr,Audited authors N–Z,1,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Nikolai Lobachevsky,Audited authors N–Z,2,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Niles Eldredge and Stephen Jay Gould,Audited authors N–Z,1,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Paul Valéry,Audited authors N–Z,1,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Pierre Corneille,Audited authors N–Z,1,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Pius X,Audited authors N–Z,1,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Pius XI,Audited authors N–Z,1,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Pius XII,Audited authors N–Z,1,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Plato,"Classical, patristic, and medieval audit",25,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; 37 authors remain provisional pending specialist complete-corpus verification
Plotinus,"Classical, patristic, and medieval audit",1,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; 37 authors remain provisional pending specialist complete-corpus verification
Plutarch,"Classical, patristic, and medieval audit",12,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; 37 authors remain provisional pending specialist complete-corpus verification
Porphyry,"Classical, patristic, and medieval audit",1,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; 37 authors remain provisional pending specialist complete-corpus verification
Pre-Socratic philosophers,Audited authors N–Z,1,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Princess Elisabeth,Audited authors N–Z,1,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Ptolemy,"Classical, patristic, and medieval audit",6,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; 37 authors remain provisional pending specialist complete-corpus verification
René Descartes,Early-modern and modern audit,14,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; 20 author corpora remain provisional after work-level review
Richard Dedekind,Audited authors N–Z,2,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Richard Wagner,Audited authors N–Z,2,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Robert Andrews Millikan,Audited authors N–Z,1,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Robert Gustin,Audited authors N–Z,1,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Rudolf Virchow,Audited authors N–Z,1,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Sappho,Audited authors N–Z,2,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Sigmund Freud,Early-modern and modern audit,19,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; 20 author corpora remain provisional after work-level review
Simone de Beauvoir,Audited authors N–Z,1,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Sophocles,"Classical, patristic, and medieval audit",7,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; 37 authors remain provisional pending specialist complete-corpus verification
Søren Kierkegaard,Early-modern and modern audit,17,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; 20 author corpora remain provisional after work-level review
St. George Jackson Mivart,Audited authors N–Z,1,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Stanislao Cannizzaro,Audited authors N–Z,1,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Sylvia Plath,Audited authors N–Z,1,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
T. S. Eliot,Audited authors N–Z,4,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Tacitus,"Classical, patristic, and medieval audit",5,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; 37 authors remain provisional pending specialist complete-corpus verification
Theodor Boveri,Audited authors N–Z,1,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Thomas Aquinas,"Classical, patristic, and medieval audit",37,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; 37 authors remain provisional pending specialist complete-corpus verification
Thomas Aquinas College,Audited authors N–Z,2,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Thomas Hobbes,Early-modern and modern audit,14,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; 20 author corpora remain provisional after work-level review
Thomas Morgan,Audited authors N–Z,1,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Thomas Young,Audited authors N–Z,2,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Thucydides,"Classical, patristic, and medieval audit",1,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; 37 authors remain provisional pending specialist complete-corpus verification
Toni Morrison,Audited authors N–Z,1,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
United States Historical Documents,Audited authors N–Z,1,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Various named scientists,Audited authors N–Z,1,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Victor Zuckerkandl,Audited authors N–Z,1,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Virgil,"Classical, patristic, and medieval audit",3,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; 37 authors remain provisional pending specialist complete-corpus verification
Virginia Woolf,Audited authors N–Z,5,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
W. E. B. Du Bois,Audited authors N–Z,1,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Wallace Stevens,Audited authors N–Z,1,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Walter Sutton,Audited authors N–Z,1,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Werner Karl Heisenberg,Audited authors N–Z,1,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Willa Cather,Audited authors N–Z,1,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
William Butler Yeats,Audited authors N–Z,1,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
William Faulkner,Audited authors N–Z,4,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
William Gilbert,Audited authors N–Z,1,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
William Harvey,Audited authors N–Z,1,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
William Nesfield,Audited authors N–Z,1,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
William Shakespeare,Early-modern and modern audit,43,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; 20 author corpora remain provisional after work-level review
William Wordsworth,Audited authors N–Z,2,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Wolfgang Amadeus Mozart,Audited authors N–Z,1,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
